Author,Comment,PublishedAt,youtube_english
@user79402,ku lagu kisah ku,2024-06-02T12:41:44Z,i'm the song of my story
@_pazeamor,provrbios 356 confie no senhor de todo o seu corao e no apie em seu prprio entendimento reconhea o senhor em todos os seus caminhos e ele endireitar as suas veredas,2024-05-30T17:49:13Z,provrbios 356 confie no senhor de todo o seu corao e no apie em seu prprio entendimento reconhea o senhor em todos os seus caminhos e ele endireitar as suas veredas
@zila_mir,keren lagunya,2024-05-30T01:42:46Z,cool song
@nuraini3021,no,2024-05-30T00:12:18Z,no
@maulanahadiannor3569,musik video nya kisah nabi,2024-05-29T05:32:33Z,the music video is the story of the prophet
@rizkyfidiansyah2768,gas 70 juta moo up kupu kupu,2024-05-27T23:31:35Z,gas 70 million moo up butterfly
@evangebeerr,titiii usaii titiiiii,2024-05-27T13:01:13Z,titiii after titiiiii
@NanaAgustina179,gas 70jt janji rosinda,2024-05-27T07:39:27Z,gas 70m rosinda promise
@afj_001,kali dengar lagu ni nangis menangis someone broke my heart nangis lirik perjuangan nabi muhammad umatnya semoga teruskan perjuangan nabi,2024-05-27T03:27:46Z,i heard this song crying crying someone broke my heart crying lyrics of the struggle of the prophet muhammad his people may continue the struggle of the prophet
@wh109,janji,2024-05-27T02:57:24Z,appointment
@purtinarendrani3803,tiaranya akuuu,2024-05-27T02:55:57Z,liaranya akuuu
@charliecheah4318,mantap,2024-05-26T14:27:46Z,Where are you from
@zafreenhisham9690,ashiap homebois mpl mal 2 minggu ni kasi perform juara id 496842472210,2024-05-25T16:07:02Z,ashiap homebois mpl mall 2 weeks this kasi perform champion id 496842472210
@Momoy-Momoy,lagu kebanggaan nya rosinda karina,2024-05-24T13:54:28Z,her song of pride rosinda karina
@nybpb287,gagal,2024-05-23T17:18:58Z,failed
@andizreal2180,ga suka modelnya tetep suka lagunya,2024-05-23T14:44:06Z,i don't like the model but I still like the song
@fauzi9765,gas 70 juta,2024-05-22T17:54:18Z,gas 70 million
@kistoato5261,gass 70 juta,2024-05-22T01:04:54Z,70 million gass
@LijahRinah,idola gua ni merdunya suara tiara andini,2024-05-22T00:17:16Z,the idols of this cave meld the voice of tiara andini
@reynalnugg0627,lagu rindu sosok rasulullah saw,2024-05-21T11:57:33Z,song miss the figure of Rasulullah saw
@user-kt3wx3wx1t,janji setia kisah rasulullah,2024-05-21T09:57:11Z,pledge of allegiance to the story of the
@user-vz9pd4xm6v,si palin enak syahdu janji setia,2024-05-21T03:09:39Z,the palin delicacy swahdu pledge of allegiance
@MICHSANFAZAR,sipaling masterpiece ni lagu,2024-05-20T18:23:10Z,sipaling this masterpiece song
@harumtianggoro541,otw 70 m,2024-05-19T23:28:23Z,70m OTW
@akuchannel2604,dede bayi gede i miss you lampung,2024-05-19T16:44:52Z,big baby dede i miss you lampung
@ellinellin5475,alhamdulillah akhirny 69jt views semangat menjemput 70jt views bismillah,2024-05-19T16:23:14Z,alhamdulillah akhirny 69jt views spirit invites 70jt views bismillah
@Karyuumoderog667,hilang nya pahlawan,2024-05-19T01:41:27Z,the loss of heroes
@FitriHandayani05-rt4tf,rinduu kaliaann berdua alshad tiara,2024-05-17T20:40:22Z,miss kaliaann and alshad tiara
@widieyanti352,,2024-05-17T14:01:50Z,
@AllzenaRahma,video klip ny tiara janji setia pemenang ny alshad,2024-05-17T02:42:15Z,video clip ny tiara pledge of loyalty winner ny alshad
@zia9394,kangen pasangan,2024-05-16T11:06:26Z,miss partner
@rhndoang3363,ga bosen lagu luvv banget,2024-05-16T10:57:08Z,ga bosen lagu luvv really
@adesaputra4497,keren,2024-05-15T15:23:30Z,Cool
@alisha_mutiara,lagu nya bagus banget cocok kekasih keluarga rasulullah,2024-05-14T16:04:20Z,the song is very good suitable for the lovers of the apostle's family
@muhammadzakaria6412,sorry ai jahat maaaf banget yah,2024-05-14T13:19:00Z,sorry ai evil maaafet yah
@andiclaraazzahra3941,up,2024-05-14T10:35:30Z,up
@andiclaraazzahra3941,nice,2024-05-14T10:34:02Z,Nice
@fadhlanfadhillah1404,nangis kisah nabi muhammad shallallahu alaihi wasallam,2024-05-14T09:41:10Z,cry the story of the prophet muhammad sallallahu alaihi wasallam
@AerilShahrul-kb1ul,riyak hek rachel,2024-05-14T09:39:03Z,riyak hek rachel
@muhammadrumaizanrumaling7372,video klip ni tertarik kereta toyota corolla gl wlpn kereta berusia 40 gah jalanraya,2024-05-14T09:37:34Z,this video clip is interested in the toyota corolla gl wlpn car car aged 40 gah jalanraya
